code,priority,title,done_when,proof
AZ-001,P0,Lock current truth surface across README/charter/capability matrix/runbook/help,done when all public docs and CLI outputs agree on current contract,docs + golden text tests
AZ-002,P0,Decide async runtime fallback policy,done when fallback is either removed or explicitly surfaced as blocked/degraded contract,doctor + init tests
AZ-003,P0,Create product-owned goal schema spec,done when objective/workspace/constraints/done_conditions/verification/budget/approval are versioned,schema tests
AZ-004,P0,Implement goal file parser,done when goal yaml/json/md loads into validated RunGoal input,parser tests
AZ-005,P0,Add canonical CLI commands run/resume/abort around goal files,done when help/status/replay support run ids,e2e CLI tests
AZ-006,P0,Create run-id based persistence path,done when runs survive process restarts and are addressable by id,state/trace tests
AZ-007,P0,Promote RunGoal/RunEvent/RunStatus path into apps runtime,done when autonomous run path uses core run domain directly,core/apps integration tests
AZ-008,P1,Define explicit step model,done when each run compiles to inspectable steps with ids/types/status,planner tests
AZ-009,P1,Persist step journal into trace,done when replay can render per-step timeline,trace tests
AZ-010,P1,Replace shallow tool phase with step executor,done when runtime uses tool adapter operations beyond log/report append,e2e step tests
AZ-011,P1,Implement inspect/read/search step handlers,done when planner can gather workspace evidence before mutation,tool integration tests
AZ-012,P1,Implement mutate/write/replace/remove step handlers with path expectations,done when mutation steps emit bounded evidence and changed-path summaries,mutation tests
AZ-013,P1,Implement verification-command steps,done when cargo/npm/python build/test/lint/typecheck can be attached to milestones,command profile tests
AZ-014,P1,Upgrade report artifacts to step-aware plan/apply/verify/report documents,done when reports show milestone/step/evidence/failure boundary,artifact golden tests
AZ-015,P1,Implement terminal done-condition evaluation,done when success requires all declared checks to pass,goal-run e2e tests
AZ-016,P1,Implement per-milestone verification,done when milestone advancement is impossible without passing checks,milestone tests
AZ-017,P1,Implement repair classification,done when verification failures map to retryable/non-retryable classes,repair tests
AZ-018,P1,Implement bounded repair loop,done when repair attempts consume explicit budget and stop deterministically,repair budget tests
AZ-019,P1,Persist repair attempts and reasons,done when replay/report show repair history,replay/report tests
AZ-020,P1,Support operator-readable changed-path and patch preview summaries,done when replay/report show what changed without raw diff overload,artifact tests
AZ-021,P1,Wire tool risk tiers into approval gate,done when risky steps pause before execution under on-risk/always,approval e2e tests
AZ-022,P1,Implement persisted pending-approval state,done when status/replay show waiting approval with step context,state/replay tests
AZ-023,P1,Implement resume after approval,"done when approved runs continue from paused step, not restart whole run",resume tests
AZ-024,P1,Implement abort semantics,done when abort leaves coherent terminal outcome and report,abort tests
AZ-025,P1,Define budget exhaustion semantics,done when step/time/token limits yield budget_exhausted terminal outcome,budget tests
AZ-026,P1,Expose budget and approval state in doctor/status/replay,done when operator can inspect run control state easily,golden output tests
AZ-027,P2,Define execution isolation strategy (single-writer lockfile or worktree-per-run),done when concurrency contract is explicit and enforced,design doc + tests
AZ-028,P2,Protect state snapshot against concurrent writers,done when multi-process writes are prevented or serialized,race tests
AZ-029,P2,Protect trace log append path,done when events.jsonl cannot be corrupted by multi-process append,trace concurrency tests
AZ-030,P2,Protect memory backends or document single-writer mode,done when markdown/sqlite behavior is deterministic under chosen contract,memory concurrency tests
AZ-031,P2,Serialize or isolate provider session usage,done when active session cannot be asked concurrently unsafely,provider concurrency tests
AZ-032,P2,Remove or surface hidden async-host fallback,done when configured runtime init failure is operator-visible and policy-consistent,doctor/init tests
AZ-033,P2,Tighten replace_in_file semantics with expected_count/max_count,done when risky broad replacements are impossible by accident,tool tests
AZ-034,P2,Surface unreadable/skipped files in search/list operations,done when search results report skips/errors deterministically,tool tests
AZ-035,P2,Add worktree adapter or scm adapter for isolated coding runs,done when runs can operate in ephemeral worktrees and leave reviewable diffs,integration tests
AZ-036,P2,Create verifier profiles for Rust/Node/Python projects,done when common dev stacks can be verified with minimal configuration,profile tests
AZ-037,P2,Define workflow-pack contract,done when user-provided workflow packs have stable schema and allowed-tool/verifier metadata,schema tests
AZ-038,P2,Implement adapter SDK for workflow packs,done when external workflow adapters plug into one orchestrator contract,SDK samples
AZ-039,P2,Support spec-stack inputs (SPEC/PLAN/IMPLEMENT/STATUS/AGENTS),done when runs can ingest durable project memory files as source of truth,e2e goal-package tests
AZ-040,P2,Create app workflow pack,done when an app scaffold/change goal can run end-to-end,golden repo eval
AZ-041,P2,Create server/API workflow pack,done when a server feature goal can run end-to-end,golden repo eval
AZ-042,P3,Build autonomous eval corpus,done when representative repos/goals exist for repeated scoring,eval dataset
AZ-043,P3,Add trace/artifact scoring checks,done when runs are scored on outcome plus evidence quality,eval harness
AZ-044,P3,Add release gate for autonomous runs,done when releases are blocked by failing representative runs,CI gate
AZ-045,P3,Dogfood maintenance workflow on AxonRunner itself,done when a recurring internal engineering workflow completes through the product,dogfood report
AZ-046,P3,Dogfood spec-to-feature workflow,done when a feature derived from a planning doc is executed end-to-end,dogfood report
AZ-047,P3,Trim legacy intent path to debug/migration mode,done when goal-run is primary and legacy path no longer drives product decisions,CLI/docs update
AZ-048,P3,Write product release checklist for autonomous mode,done when operator can deploy/use/recover confidently,runbook
